queue,tag,ticket_count
it support,live streaming,1
customer service,"customer,finance,technical,feedback",1
it support,alteryx,1
it support,projection,1
billing and payments,digital marketing services,1
it support,realtimeupdates,1
billing and payments,budgeting,1
technical support,"technical,bug,crash,resolution,feedback,documentation",1
product support,system requirements,1
technical support,webhook,1
service outages and maintenance,platform,1
product support,record,1
customer service,trial,1
service outages and maintenance,connection,1
technical support,ccleaner,1
sales and pre-sales,adobe premiere pro,1
human resources,informationrequest,1
returns and exchanges,contactinformation,1
general inquiry,contentmarketing,1
it support,datastorage,1
sales and pre-sales,features,1
sales and pre-sales,digitalstrategy,1
product support,google,1
customer service,cloudfunctions,1
technical support,datahandling,1
customer service,bitlocker,1
technical support,audiosettings,1
sales and pre-sales,safety,1
billing and payments,casestudies,1
billing and payments,testimonials,1
service outages and maintenance,cost,1
customer service,medical data,1
customer service,markettrend,1
sales and pre-sales,malfunction,1
it support,project,1
billing and payments,longtermcommitments,1
customer service,traffic,1
service outages and maintenance,requirement,1
billing and payments,unpaid,1
it support,livestream,1
technical support,export,1
product support,windows,1
billing and payments,action,1
technical support,smart-tracker,1
returns and exchanges,request,1
customer service,potential,1
service outages and maintenance,content,1
it support,softwareupdate,1
product support,availability,1
returns and exchanges,vr,1
product support,campaignmanagement,1
general inquiry,workflow,1
technical support,warranty,1
service outages and maintenance,sensitivität,1
product support,goodpractice,1
customer service,databreaches,1
billing and payments,softwareupdate,1
product support,notion,1
technical support,company,1
billing and payments,equipment,1
it support,replacement,1
technical support,meetings,1
it support,predictiveinsights,1
technical support,microsoftdynamics365,1
billing and payments,vertraulichkeit,1
it support,trust,1
it support,datum,1
general inquiry,usergeneratedcontent,1
it support,dokumentenscanner,1
it support,indexing,1
general inquiry,backup,1
billing and payments,ubuntu,1
customer service,duolingo,1
technical support,malfunction,1
technical support,investment analytics,1
general inquiry,successstories,1
it support,saperp,1
technical support,high traffic,1
service outages and maintenance,"technical,crash,outage,feedback",1
technical support,"technical,customer,bug,feedback,resolution",1
general inquiry,management,1
customer service,consultation,1
general inquiry,dataanalysis,1
product support,statisticalmodels,1
service outages and maintenance,dringend,1
technical support,content creation,1
product support,auditing,1
product support,consultation,1
billing and payments,timeline,1
it support,controls,1
customer service,portfolios,1
sales and pre-sales,upgrade,1
customer service,projekttermin,1
technical support,critical data loss,1
customer service,datastream,1
customer service,accessory,1
it support,resources,1
human resources,education,1
it support,design,1
product support,passwordstorage,1
returns and exchanges,calendar,1
product support,router,1
customer service,sap_erp,1
billing and payments,onlinepaymentsystem,1
customer service,availability,1
general inquiry,transmission,1
it support,strategy support,1
it support,meeting,1
technical support,digitalsignage,1
billing and payments,dat analysis,1
service outages and maintenance,protocol,1
technical support,specific error message,1
billing and payments,annual plan,1
sales and pre-sales,company,1
it support,decisionmaking,1
customer service,"technical,customer,product,integration,documentation,feedback",1
billing and payments,longterm,1
customer service,clearing,1
technical support,resource allocation,1
product support,caching,1
technical support,patientdata,1
product support,promotion,1
product support,solutions,1
customer service,integrationsschwierigkeit,1
technical support,speed,1
general inquiry,callsetup,1
product support,option,1
service outages and maintenance,specification,1
general inquiry,filesharing,1
it support,aes,1
technical support,display,1
returns and exchanges,influencermarketing,1
customer service,smart home sensor,1
it support,eclipse,1
customer service,web traffic,1
it support,assessment,1
sales and pre-sales,xboxproducts,1
technical support,data source,1
billing and payments,cassandra,1
product support,indexes,1
general inquiry,router,1
customer service,bestpractices,1
it support,operating system,1
product support,measure,1
human resources,lead,1
technical support,datastreams,1
product support,transmission,1
it support,brandgrowth,1
service outages and maintenance,consulting,1
technical support,predictiveanalytics,1
technical support,settings,1
technical support,projectmanagementsoftware,1
product support,gnu compiler,1
customer service,financial services,1
customer service,parameter,1
customer service,interactiondecline,1
service outages and maintenance,firewalls,1
technical support,restart,1
technical support,market,1
billing and payments,software-as-a-service,1
returns and exchanges,abonnement,1
customer service,googleanalytics,1
customer service,central,1
returns and exchanges,satisfaction,1
it support,confidentiality,1
sales and pre-sales,cyber-sicherheit,1
returns and exchanges,statistics,1
product support,systemflaw,1
product support,sap erp,1
product support,unauthorized,1
product support,"technical,customer,product,feedback,guidance,documentation",1
returns and exchanges,bestpractices,1
technical support,dataingestion,1
technical support,container,1
billing and payments,digitalstrategyservices,1
product support,softwareupgrade,1
technical support,updates,1
technical support,sabrent,1
human resources,services,1
technical support,performanceoptimization,1
customer service,gaming,1
service outages and maintenance,sicherheit,1
customer service,project management,1
returns and exchanges,software updates,1
product support,examination,1
technical support,scanning,1
it support,technology,1
it support,macbookpro,1
technical support,softwareversion,1
technical support,mysql,1
returns and exchanges,"billing,product,error,data analytics,breach",1
product support,realtimeanalysis,1
sales and pre-sales,internetconnection,1
technical support,interface,1
service outages and maintenance,customersupport,1
customer service,datatraveler,1
technical support,linux,1
customer service,signing process,1
service outages and maintenance,crm,1
technical support,"analysis,troubleshooting",1
product support,messaging,1
technical support,add_ins,1
it support,measures,1
general inquiry,automation,1
technical support,effort,1
technical support,betriebssystem,1
it support,casestudies,1
billing and payments,misconfiguration,1
human resources,request,1
technical support,dataquality,1
technical support,sign,1
billing and payments,convenience,1
it support,nodejs,1
product support,unauthorizedaccess,1
customer service,student,1
sales and pre-sales,dataintegration,1
it support,intellij idea,1
product support,data leak,1
billing and payments,digitalstrategy,1
it support,internetconnection,1
returns and exchanges,consistency,1
customer service,medicaldata,1
returns and exchanges,setup,1
product support,allocation,1
technical support,casestudies,1
technical support,laravel,1
it support,system failure,1
customer service,connector,1
service outages and maintenance,systemrequirements,1
sales and pre-sales,google cloud platform,1
billing and payments,avast,1
technical support,crash report issue,1
it support,management,1
product support,translation,1
it support,"crash,bug,hardware,resolution,software,outage,technical,customer",1
technical support,innovation,1
sales and pre-sales,notification,1
sales and pre-sales,innovation,1
product support,"technical,crash,outage,resolution,bug",1
human resources,api,1
billing and payments,payment gateways,1
technical support,github,1
technical support,marketingautomation,1
sales and pre-sales,implementation,1
it support,evening,1
it support,backlog,1
product support,crm,1
billing and payments,paymentterms,1
technical support,microsoft dynamics 365,1
technical support,google cloud platform,1
returns and exchanges,datastorage,1
technical support,databaseproblem,1
sales and pre-sales,marketingstrategy,1
technical support,social media management,1
technical support,"technical,customer,product,feedback,bug,documentation",1
technical support,multifactorauthentication,1
customer service,critical,1
sales and pre-sales,predictivemodeling,1
customer service,digitalstrategies,1
sales and pre-sales,configuration,1
technical support,software update,1
customer service,securitymeasure,1
product support,ad spending,1
customer service,appointment,1
product support,refinement,1
product support,app,1
product support,urgently,1
sales and pre-sales,incompatibility,1
general inquiry,social media marketing,1
customer service,hardware requirements,1
returns and exchanges,outlook,1
product support,order,1
it support,browserproblem,1
technical support,apache hadoop,1
technical support,crashing,1
billing and payments,outdated plugin,1
it support,cable,1
technical support,predictivemodeling,1
product support,audio,1
technical support,revenue,1
service outages and maintenance,datasystem,1
product support,session,1
service outages and maintenance,influencermarketing,1
product support,casestudy,1
billing and payments,proposal,1
it support,tactics,1
returns and exchanges,customer satisfaction,1
product support,excelintegration,1
customer service,operating system,1
product support,credential,1
it support,data loss,1
billing and payments,networkpolicies,1
technical support,video,1
service outages and maintenance,gaming,1
billing and payments,external,1
technical support,security measures,1
customer service,userpermissions,1
product support,customersupport,1
technical support,financialanalysis,1
technical support,schedule,1
human resources,survey,1
billing and payments,workflow,1
returns and exchanges,oracle,1
product support,wix,1
returns and exchanges,"digital,campaign,engagement,conversion,guidance,suggestion",1
technical support,resource management,1
customer service,connectionproblem,1
general inquiry,macos,1
service outages and maintenance,engagement,1
it support,crash log,1
returns and exchanges,ibm,1
general inquiry,model,1
sales and pre-sales,outdatedcontent,1
billing and payments,expansion,1
technical support,datatransfer,1
product support,critical,1
customer service,brandgrowth,1
billing and payments,datum analytics tool,1
product support,brandgrowth,1
general inquiry,patch,1
service outages and maintenance,usability,1
returns and exchanges,alteryx,1
customer service,software platform,1
general inquiry,access,1
customer service,aws,1
customer service,adplacement,1
it support,frame rate,1
human resources,asana,1
billing and payments,strategyservices,1
technical support,mongodb4.4,1
sales and pre-sales,salesstrategy,1
returns and exchanges,verification,1
product support,software updates,1
sales and pre-sales,problem,1
technical support,audiencereach,1
billing and payments,crm,1
service outages and maintenance,reporting,1
it support,payment,1
technical support,systemrequirements,1
product support,planning,1
billing and payments,overcharging,1
returns and exchanges,connectivity,1
general inquiry,campaignmanagement,1
it support,initiative,1
customer service,fulldiskencryption,1
customer service,brandrecognition,1
sales and pre-sales,specifications,1
human resources,development,1
it support,dataintegration,1
sales and pre-sales,datastorage,1
billing and payments,financialgoals,1
billing and payments,sensor,1
technical support,datastorage,1
customer service,diagnostic,1
customer service,konflikt,1
sales and pre-sales,infrastructure,1
sales and pre-sales,hipaa,1
returns and exchanges,saas,1
billing and payments,tracking,1
technical support,quick assistance,1
billing and payments,digital services,1
customer service,sql server,1
billing and payments,accrual,1
sales and pre-sales,casestudies,1
technical support,internet,1
billing and payments,suggestion,1
product support,task,1
it support,vorteils vergleich,1
billing and payments,softwarefeaure,1
general inquiry,content,1
sales and pre-sales,task,1
product support,office365,1
technical support,"technical,customer,bug,it,outage,resolution",1
it support,"technical,crash,ubuntu,bug,resolution",1
product support,online,1
technical support,syncissue,1
returns and exchanges,bitbucket,1
general inquiry,brand,1
customer service,cyberattack,1
product support,datadrivendecisions,1
product support,customer satisfaction,1
general inquiry,team,1
customer service,refresh,1
general inquiry,compatibility,1
it support,"technical,bug,crash,product,hardware",1
technical support,systemrequirement,1
billing and payments,wealthmanagement,1
product support,digital campaign,1
product support,specifications,1
customer service,investmentportfolios,1
it support,risk,1
sales and pre-sales,smarthomehub,1
technical support,writingexperience,1
general inquiry,adjustment,1
technical support,printer,1
product support,firewalls,1
billing and payments,missing,1
general inquiry,assistance,1
sales and pre-sales,rapidminer,1
general inquiry,metric,1
returns and exchanges,platform,1
billing and payments,late fees,1
billing and payments,influencermarketing,1
customer service,specification,1
customer service,callback,1
it support,outdated cache,1
human resources,report,1
customer service,casestudies,1
billing and payments,billing cycle,1
it support,google,1
product support,endpoint,1
product support,operatingsystem,1
product support,microsoftteams,1
human resources,urgent,1
returns and exchanges,rails,1
customer service,microsoftteams,1
customer service,team management,1
returns and exchanges,cassandra,1
technical support,task,1
product support,outlook,1
sales and pre-sales,target,1
billing and payments,currency,1
customer service,decisionsupport,1
product support,projecttracking,1
customer service,convenience,1
service outages and maintenance,alternative,1
returns and exchanges,revision,1
returns and exchanges,sap,1
technical support,rapidminer,1
technical support,userexperience,1
technical support,loganalysis,1
returns and exchanges,servicerestart,1
customer service,recent update,1
service outages and maintenance,expansion,1
billing and payments,accrued,1
technical support,accessmanagement,1
billing and payments,miscalculation,1
general inquiry,technology,1
product support,prevention,1
product support,cloud,1
billing and payments,process,1
customer service,component,1
product support,dataflow,1
product support,learning,1
billing and payments,creditcards,1
customer service,"technical,customer,integration,documentation,guidance",1
technical support,2019,1
service outages and maintenance,magento,1
general inquiry,datastorage,1
product support,datenverlust,1
technical support,editingcapabilites,1
technical support,content marketing,1
billing and payments,payment methods,1
it support,sensitivedata,1
returns and exchanges,equipment,1
product support,two-factor authentication,1
product support,inconsistency,1
technical support,typo3,1
technical support,digital strategy,1
technical support,access control,1
billing and payments,free trials,1
product support,secure,1
service outages and maintenance,promotion,1
customer service,cashflowmanagement,1
technical support,data overflow,1
billing and payments,monthly,1
technical support,ai,1
it support,scalability,1
product support,load speed,1
billing and payments,practices,1
product support,projectmanagementsaas,1
human resources,obs studio,1
customer service,accuracy,1
billing and payments,banktransfers,1
customer service,taskassignment,1
sales and pre-sales,digital strategy,1
technical support,returns,1
general inquiry,reporting,1
customer service,scrivener,1
technical support,asana,1
returns and exchanges,datum,1
returns and exchanges,model,1
billing and payments,informationrequest,1
returns and exchanges,softwareissue,1
sales and pre-sales,chef,1
human resources,datastorage,1
sales and pre-sales,outcome,1
returns and exchanges,timeline,1
billing and payments,adobecreativecloud,1
sales and pre-sales,machinelearning,1
technical support,symptoms,1
billing and payments,vital,1
billing and payments,seo,1
billing and payments,contentmarketing,1
customer service,microsoft teams,1
returns and exchanges,access,1
customer service,technical support,1
it support,vital,1
technical support,portfoliomanagement,1
billing and payments,corporate,1
product support,protocol,1
customer service,campaigns,1
service outages and maintenance,windows,1
it support,errorlogging,1
product support,algorithms,1
technical support,chef,1
it support,systemintegration,1
it support,automation,1
customer service,"technical,customer,product,integration,dashboard,update",1
product support,technical support,1
billing and payments,scalability,1
billing and payments,teammanagement,1
technical support,control,1
it support,seo,1
technical support,ansible,1
product support,datainconsistency,1
service outages and maintenance,cybersecurity,1
customer service,systems,1
product support,visualization,1
customer service,visualization,1
customer service,performanceanalysis,1
customer service,realtime,1
sales and pre-sales,contentstrategy,1
technical support,importance,1
customer service,onlineprofile,1
technical support,smoothintegration,1
it support,informationsafety,1
it support,quote,1
human resources,"digital,campaigns,feedback,strategy,content,analysis",1
general inquiry,teaminteraction,1
it support,services,1
technical support,backend,1
general inquiry,casestudies,1
product support,excel,1
technical support,project oversight,1
it support,targetaudience,1
sales and pre-sales,adfatigue,1
technical support,informationstreams,1
technical support,datasecurity,1
customer service,productpromotion,1
technical support,aftereffects,1
technical support,prediction,1
it support,data leak,1
technical support,accounting,1
product support,datamodeling,1
technical support,brandexpansion,1
customer service,specifications,1
technical support,legal,1
human resources,learning,1
customer service,datastorage,1
billing and payments,bundles,1
returns and exchanges,concerned,1
sales and pre-sales,dataencryption,1
human resources,cooperation,1
billing and payments,passwordmanagement,1
customer service,review,1
billing and payments,engagement,1
technical support,mismatch,1
technical support,"customer,sales,strategy,online presence,method,website,interaction",1
it support,influencermarketing,1
product support,digital marketing,1
service outages and maintenance,query,1
product support,measures,1
product support,delays,1
service outages and maintenance,dataanalysis,1
customer service,electronicsignature,1
returns and exchanges,python,1
returns and exchanges,incompatibility,1
customer service,task,1
technical support,keymanagement,1
customer service,humanerror,1
it support,updates,1
it support,safety,1
technical support,data retrieval,1
customer service,"digital,campaign,performance,issue,resolution,urgency,communication,action,algorithm,maintenance,follow-up",1
it support,mysql,1
product support,audit,1
technical support,webcamsettings,1
technical support,network congestion,1
billing and payments,due dates,1
customer service,scheduling,1
customer service,agency,1
technical support,videoconference,1
service outages and maintenance,strategy_update,1
it support,computing,1
returns and exchanges,financialanalysis,1
customer service,accessmanagement,1
sales and pre-sales,reporting,1
technical support,digital channels,1
product support,function,1
product support,verlust,1
customer service,customerservice,1
it support,vpn,1
human resources,monday.com,1
billing and payments,secretmanagement,1
product support,systemrequirements,1
billing and payments,term,1
technical support,successstories,1
customer service,malware,1
it support,streaming,1
human resources,authentication,1
billing and payments,uptodatesoftware,1
general inquiry,billing,1
technical support,disclaimer,1
it support,multifactorauthentication,1
general inquiry,estimate,1
general inquiry,upgrade,1
product support,contentcreation,1
customer service,access-control,1
human resources,synchronization,1
billing and payments,billing plan,1
service outages and maintenance,glitch,1
customer service,visibility,1
technical support,google cloud,1
it support,dataprotection,1
it support,online visibility,1
billing and payments,multifactorauthentication,1
human resources,hiringprocess,1
customer service,potentialrisk,1
product support,system resources,1
technical support,adobe_creative_cloud,1
general inquiry,malfunction,1
returns and exchanges,standard,1
technical support,cable,1
customer service,synchronisieren,1
billing and payments,setup,1
it support,informationrequired,1
customer service,restart,1
product support,financial,1
general inquiry,issue,1
returns and exchanges,protection,1
technical support,writing,1
service outages and maintenance,contentdevelopment,1
general inquiry,vulnerability,1
billing and payments,datatransfer,1
technical support,onlineadvertising,1
customer service,financialreporting,1
customer service,jenkins,1
product support,display,1
general inquiry,content creation,1
it support,navigationsstructure,1
technical support,load,1
sales and pre-sales,expansion,1
product support,postgresql,1
sales and pre-sales,account,1
service outages and maintenance,socialmedia,1
billing and payments,user experience,1
technical support,avast,1
it support,discrepancy,1
returns and exchanges,ad,1
it support,trouble shooting,1
it support,inquiry,1
returns and exchanges,mysql,1
general inquiry,patientdata,1
general inquiry,intelligence,1
service outages and maintenance,portfolio,1
customer service,concern,1
human resources,pytorch,1
product support,discrepancies,1
technical support,new member,1
product support,visibility,1
billing and payments,real-time,1
returns and exchanges,emailmarketing,1
technical support,visitor,1
returns and exchanges,system,1
human resources,discount,1
technical support,activation,1
sales and pre-sales,prevention,1
returns and exchanges,gcp,1
customer service,"technical,customer,integration,problem reporting,solution request",1
billing and payments,safeguard,1
billing and payments,log,1
technical support,targeting,1
customer service,refund,1
it support,software compatibility,1
it support,interaction,1
returns and exchanges,ruby,1
product support,dynamics,1
sales and pre-sales,assistance,1
customer service,resource,1
human resources,scanner,1
customer service,data protection,1
technical support,timelines,1
product support,customer relationship,1
sales and pre-sales,systems,1
sales and pre-sales,protocol,1
product support,rejection,1
customer service,portfoliomanagement,1
service outages and maintenance,functionality,1
technical support,teams,1
service outages and maintenance,billing,1
technical support,investmentanalytics,1
it support,informationsecurity,1
technical support,data_analysis,1
sales and pre-sales,campaigns,1
product support,investmentportfolio,1
billing and payments,interaction,1
customer service,adtext,1
technical support,detail,1
service outages and maintenance,authentication,1
sales and pre-sales,technical specifications,1
it support,"technical,crash,software,bug,hardware,outage,maintenance",1
technical support,adjustment,1
customer service,sensitivity,1
product support,digital strategy,1
customer service,userroles,1
general inquiry,portfolio,1
product support,dataset,1
it support,"technical,customer,bug,website,resolution,feedback,support",1
it support,microsoftoffice,1
product support,coordination,1
sales and pre-sales,markenentwicklung,1
technical support,financial service,1
sales and pre-sales,excel,1
product support,unsecured,1
returns and exchanges,mongodb,1
it support,regulation,1
customer service,ai,1
returns and exchanges,security breach,1
it support,conversion,1
billing and payments,raid-controller,1
technical support,onlinemarketing,1
it support,ide,1
technical support,excel,1
customer service,response,1
technical support,situation,1
service outages and maintenance,clarification,1
general inquiry,emailcampaign,1
sales and pre-sales,requirement,1
product support,precision,1
customer service,data integrity,1
technical support,medicaldatastorage,1
sales and pre-sales,visualization,1
it support,business,1
customer service,passwordreset,1
sales and pre-sales,data integration,1
technical support,accuracy,1
it support,inaccuracy,1
general inquiry,firewall,1
customer service,gdpr,1
general inquiry,prediction,1
billing and payments,audits,1
technical support,"technical,customer,product,integration,guidance,documentation",1
sales and pre-sales,urgent,1
customer service,spend,1
customer service,telephone,1
technical support,team,1
service outages and maintenance,expiration,1
general inquiry,medicaldata,1
billing and payments,complaint,1
service outages and maintenance,malfunction,1
returns and exchanges,tutorial,1
product support,efficiencyloss,1
sales and pre-sales,presence,1
returns and exchanges,patient,1
technical support,records,1
technical support,serverrestart,1
technical support,learning,1
product support,contentstrategy,1
technical support,load speed,1
customer service,investment_returns,1
customer service,serverconfiguration,1
technical support,"technical,bug,virus,security,breach,documentation",1
customer service,marketing materials,1
product support,response,1
product support,software upgrade,1
customer service,digital strategy,1
technical support,disconnection,1
it support,internet,1
